"","country","city","Weekday.mean","year","drug"
"1047","Germany","Dülmen",84.19,2017,"cocaine"
"1048","Germany","Erfurt",38.33,2017,"cocaine"
"1049","Germany","Frankfurt (3)",379.79,2017,"cocaine"
"1050","Germany","Hamburg (2)",323.25,2017,"cocaine"
"1051","Germany","Hannover (2)",248.69,2017,"cocaine"
"1052","Germany","Magdeburg",113.66,2017,"cocaine"
"1053","Germany","Mainz",116.86,2017,"cocaine"
"1054","Germany","Munich Gut_Grosslappen",109.23,2017,"cocaine"
"1055","Germany","Nuremberg",9.28,2017,"cocaine"
"1056","Germany","Rostock",117.93,2017,"cocaine"
"1057","Germany","Saarbrucken (2)",187.39,2017,"cocaine"
"1058","Germany","Stuttgart",180.27,2017,"cocaine"
"1059","Spain","Barcelona",783.88,2017,"cocaine"
"1060","Spain","Castellon",285.92,2017,"cocaine"
"1061","Spain","Madrid VdlV",400.12,2017,"cocaine"
"1062","Spain","Santiago",253.35,2017,"cocaine"
"1063","Spain","Valencia (3)",361.41,2017,"cocaine"
"1064","Finland","Espoo",12.1,2017,"cocaine"
"1065","Finland","Helsinki",19.86,2017,"cocaine"
"1066","Finland","Tampere",12.72,2017,"cocaine"
"1067","Finland","Turku",3.28,2017,"cocaine"
"1087","Slovenia","Ljubljana",448.69,2017,"cocaine"
"1090","Austria","Innsbruck",10.48,2017,"MDMA"
"1091","Belgium","Antwerp Zuid",72.21,2017,"MDMA"
"1092","Belgium","Boom",20.12,2017,"MDMA"
"1093","Belgium","Brussels",20.48,2017,"MDMA"
"1094","Belgium","Koksijde",10.91,2017,"MDMA"
"1095","Belgium","Merchtem",7.93,2017,"MDMA"
"1096","Belgium","Oostende",13.74,2017,"MDMA"
"1097","Belgium","Ruisbroek (Puurs)",11.13,2017,"MDMA"
"1098","Switzerland","Basel",13.23,2017,"MDMA"
"1099","Switzerland","Berne",14.6,2017,"MDMA"
"1100","Switzerland","Geneva",21.97,2017,"MDMA"
"1101","Switzerland","St. Gallen Hofen",9.46,2017,"MDMA"
"1102","Switzerland","Zurich",46.61,2017,"MDMA"
"1107","Germany","Berlin (4)",50.89,2017,"MDMA"
"1108","Germany","Chemnitz",5.35,2017,"MDMA"
"1109","Germany","Dortmund",11.01,2017,"MDMA"
"1110","Germany","Dresden",4.94,2017,"MDMA"
"1111","Germany","Dülmen",4,2017,"MDMA"
"1112","Germany","Erfurt",4.32,2017,"MDMA"
"1113","Germany","Frankfurt (3)",22.94,2017,"MDMA"
"1114","Germany","Hamburg (2)",16.24,2017,"MDMA"
"1115","Germany","Hannover (2)",17.59,2017,"MDMA"
"1116","Germany","Magdeburg",18.24,2017,"MDMA"
"1117","Germany","Mainz",23.29,2017,"MDMA"
"1118","Germany","Munich Gut_Grosslappen",9.6,2017,"MDMA"
"1119","Germany","Nuremberg",5.6,2017,"MDMA"
"1120","Germany","Rostock",13.09,2017,"MDMA"
"1121","Germany","Saarbrucken (2)",22.12,2017,"MDMA"
"1122","Germany","Stuttgart",10.83,2017,"MDMA"
"1123","Spain","Barcelona",35.14,2017,"MDMA"
"1124","Spain","Castellon",7.51,2017,"MDMA"
"1125","Spain","Madrid VdlV",8.28,2017,"MDMA"
"1126","Spain","Santiago",4.85,2017,"MDMA"
"1127","Finland","Espoo",10.2,2017,"MDMA"
"1128","Finland","Helsinki",12.16,2017,"MDMA"
"1129","Finland","Tampere",26,2017,"MDMA"
"1130","Finland","Turku",8.02,2017,"MDMA"
"1151","Slovenia","Ljubljana",18.93,2017,"MDMA"
"1154","Austria","Innsbruck",2.32,2017,"methamphetamine"
"1155","Belgium","Antwerp Zuid",21.18,2017,"methamphetamine"
"1156","Belgium","Boom",0,2017,"methamphetamine"
"1157","Belgium","Brussels",6.36,2017,"methamphetamine"
"1158","Belgium","Koksijde",0,2017,"methamphetamine"
"1159","Belgium","Merchtem",0,2017,"methamphetamine"
"1160","Belgium","Oostende",0,2017,"methamphetamine"
"1161","Belgium","Ruisbroek (Puurs)",0,2017,"methamphetamine"
"1162","Switzerland","Basel",37.79,2017,"methamphetamine"
"1163","Switzerland","Berne",22.01,2017,"methamphetamine"
"1164","Switzerland","Geneva",16.37,2017,"methamphetamine"
"1165","Switzerland","St. Gallen Hofen",7.53,2017,"methamphetamine"
"1166","Switzerland","Zurich",60.5,2017,"methamphetamine"
"1171","Germany","Berlin (4)",18.3,2017,"methamphetamine"
"1172","Germany","Chemnitz",255.34,2017,"methamphetamine"
"1173","Germany","Dortmund",0,2017,"methamphetamine"
"1174","Germany","Dresden",179.15,2017,"methamphetamine"
"1175","Germany","Dülmen",0,2017,"methamphetamine"
"1176","Germany","Erfurt",199.6,2017,"methamphetamine"
"1177","Germany","Frankfurt (3)",7.85,2017,"methamphetamine"
"1178","Germany","Hamburg (2)",3.45,2017,"methamphetamine"
"1179","Germany","Hannover (2)",2.08,2017,"methamphetamine"
"1180","Germany","Magdeburg",80.56,2017,"methamphetamine"
"1181","Germany","Mainz",2.64,2017,"methamphetamine"
"1182","Germany","Munich Gut_Grosslappen",8.13,2017,"methamphetamine"
"1183","Germany","Nuremberg",74.34,2017,"methamphetamine"
"1184","Germany","Rostock",2.76,2017,"methamphetamine"
"1185","Germany","Saarbrucken (2)",0,2017,"methamphetamine"
"1186","Germany","Stuttgart",5.6,2017,"methamphetamine"
"1187","Spain","Barcelona",48.11,2017,"methamphetamine"
"1188","Spain","Castellon",0,2017,"methamphetamine"
"1189","Spain","Madrid VdlV",14.01,2017,"methamphetamine"
"1190","Spain","Santiago",0,2017,"methamphetamine"
"1191","Spain","Valencia (3)",6.98,2017,"methamphetamine"
"1192","Finland","Espoo",40.55,2017,"methamphetamine"
"1193","Finland","Helsinki",41.29,2017,"methamphetamine"
"1194","Finland","Tampere",24.23,2017,"methamphetamine"
"1195","Finland","Turku",9.39,2017,"methamphetamine"
"1215","Slovenia","Ljubljana",0,2017,"methamphetamine"
"1218","Austria","Hall-Wattens",4.87,2018,"amphetamine"
"1219","Austria","Innsbruck",14.39,2018,"amphetamine"
"1220","Austria","Region Millstattersee",7.25,2018,"amphetamine"
"1221","Austria","Wasserverband Hofsteig",10.97,2018,"amphetamine"
"1222","Belgium","Antwerp Zuid",172.76,2018,"amphetamine"
"1223","Belgium","Brugge",58.01,2018,"amphetamine"
"1224","Belgium","Brussels",31.44,2018,"amphetamine"
"1225","Belgium","Koksijde",44.53,2018,"amphetamine"
"1226","Belgium","Oostende",124.05,2018,"amphetamine"
"1227","Switzerland","Basel",34.4,2018,"amphetamine"
"1228","Switzerland","Berne",31.84,2018,"amphetamine"
"1229","Switzerland","Geneva",8.28,2018,"amphetamine"
"1230","Switzerland","St. Gallen Hofen",41.23,2018,"amphetamine"
"1231","Switzerland","Zurich",45.22,2018,"amphetamine"
"1236","Germany","Berlin (4)",138.77,2018,"amphetamine"
"1237","Germany","Chemnitz",17.5,2018,"amphetamine"
"1238","Germany","Dortmund",130.49,2018,"amphetamine"
"1239","Germany","Dresden",25.73,2018,"amphetamine"
"1240","Germany","Dülmen",105,2018,"amphetamine"
"1241","Germany","Erfurt",37.18,2018,"amphetamine"
"1242","Germany","Munich Gut_Grosslappen",3.7,2018,"amphetamine"
"1243","Germany","Saarbrucken (2)",374.7,2018,"amphetamine"
"1245","Spain","Barcelona",36.09,2018,"amphetamine"
"1246","Spain","Castellon",0,2018,"amphetamine"
"1247","Spain","Madrid VdlV",0,2018,"amphetamine"
"1248","Spain","Santiago",0,2018,"amphetamine"
"1249","Spain","Valencia (3)",13.41,2018,"amphetamine"
"1250","Finland","Espoo",78.28,2018,"amphetamine"
"1251","Finland","Helsinki",130.93,2018,"amphetamine"
"1252","Finland","Hämeenlinna",82.81,2018,"amphetamine"
"1253","Finland","Joensuu",56.55,2018,"amphetamine"
"1254","Finland","Jyväskylä",90.14,2018,"amphetamine"
"1255","Finland","Kajaani",34.21,2018,"amphetamine"
"1256","Finland","Kemi",118.4,2018,"amphetamine"
"1257","Finland","Kokkola",24.43,2018,"amphetamine"
"1258","Finland","Kotka",98.58,2018,"amphetamine"
"1259","Finland","Kouvola",149.94,2018,"amphetamine"
"1260","Finland","Kuopio",77.73,2018,"amphetamine"
"1261","Finland","Lahti",148.31,2018,"amphetamine"
"1262","Finland","Lappeenranta",52.27,2018,"amphetamine"
"1263","Finland","Mariehamn",50.94,2018,"amphetamine"
"1264","Finland","Mikkeli",88.45,2018,"amphetamine"
"1265","Finland","Oulu",69.62,2018,"amphetamine"
"1266","Finland","Pori",33.83,2018,"amphetamine"
"1267","Finland","Rovaniemi",129.88,2018,"amphetamine"
"1268","Finland","Savonlinna",17.9,2018,"amphetamine"
"1269","Finland","Seinäjoki",51.25,2018,"amphetamine"
"1270","Finland","Tampere",59.43,2018,"amphetamine"
"1271","Finland","Turku",64.43,2018,"amphetamine"
"1272","Finland","Vaasa",61.91,2018,"amphetamine"
"1289","Slovenia","Domžale-Kamnik",14.87,2018,"amphetamine"
"1290","Slovenia","Ljubljana",18.63,2018,"amphetamine"
"1291","Slovenia","Maribor",0.9,2018,"amphetamine"
"1295","Austria","Hall-Wattens",73.08,2018,"cannabis"
"1296","Austria","Innsbruck",81.68,2018,"cannabis"
"1297","Austria","Region Millstattersee",43.26,2018,"cannabis"
"1298","Austria","Wasserverband Hofsteig",74.17,2018,"cannabis"
"1301","Spain","Barcelona",208.73,2018,"cannabis"
"1302","Spain","Castellon",77.58,2018,"cannabis"
"1303","Spain","Madrid VdlV",59.08,2018,"cannabis"
"1304","Spain","Santiago",60.87,2018,"cannabis"
"1305","Spain","Valencia (3)",27.91,2018,"cannabis"
"1320","Slovenia","Domžale-Kamnik",20.27,2018,"cannabis"
"1321","Slovenia","Ljubljana",36.44,2018,"cannabis"
"1324","Austria","Hall-Wattens",165.59,2018,"cocaine"
"1325","Austria","Innsbruck",285.91,2018,"cocaine"
"1326","Austria","Region Millstattersee",56.45,2018,"cocaine"
"1327","Austria","Wasserverband Hofsteig",133.62,2018,"cocaine"
"1328","Belgium","Antwerp Zuid",686.02,2018,"cocaine"
"1329","Belgium","Brugge",73.1,2018,"cocaine"
"1330","Belgium","Brussels",357.2,2018,"cocaine"
"1331","Belgium","Koksijde",73.15,2018,"cocaine"
"1332","Belgium","Oostende",102.19,2018,"cocaine"
"1333","Switzerland","Basel",530.38,2018,"cocaine"
"1334","Switzerland","Berne",465.48,2018,"cocaine"
"1335","Switzerland","Geneva",490.41,2018,"cocaine"
"1336","Switzerland","St. Gallen Hofen",565.3,2018,"cocaine"
"1337","Switzerland","Zurich",703.15,2018,"cocaine"
"1340","Germany","Berlin (4)",306.05,2018,"cocaine"
"1341","Germany","Chemnitz",9.45,2018,"cocaine"
"1342","Germany","Dortmund",329.04,2018,"cocaine"
"1343","Germany","Dresden",25.76,2018,"cocaine"
"1344","Germany","Dülmen",68.01,2018,"cocaine"
"1345","Germany","Erfurt",37.16,2018,"cocaine"
"1346","Germany","Munich Gut_Grosslappen",152.88,2018,"cocaine"
"1347","Germany","Saarbrucken (2)",156.12,2018,"cocaine"
"1349","Spain","Barcelona",634.45,2018,"cocaine"
"1350","Spain","Castellon",363.1,2018,"cocaine"
"1351","Spain","Madrid VdlV",275.23,2018,"cocaine"
"1352","Spain","Santiago",255.4,2018,"cocaine"
"1353","Spain","Valencia (3)",444.83,2018,"cocaine"
"1354","Finland","Espoo",23.26,2018,"cocaine"
"1355","Finland","Helsinki",43.96,2018,"cocaine"
"1356","Finland","Hämeenlinna",8.02,2018,"cocaine"
"1357","Finland","Joensuu",2.79,2018,"cocaine"
"1358","Finland","Jyväskylä",3.36,2018,"cocaine"
"1359","Finland","Kajaani",0.45,2018,"cocaine"
"1360","Finland","Kemi",2.59,2018,"cocaine"
"1361","Finland","Kokkola",0.64,2018,"cocaine"
"1362","Finland","Kotka",13.97,2018,"cocaine"
"1363","Finland","Kouvola",6.62,2018,"cocaine"
"1364","Finland","Kuopio",1.11,2018,"cocaine"
"1365","Finland","Lahti",33.24,2018,"cocaine"
"1366","Finland","Lappeenranta",3.16,2018,"cocaine"
"1367","Finland","Mariehamn",26.87,2018,"cocaine"
"1368","Finland","Mikkeli",2.6,2018,"cocaine"
"1369","Finland","Oulu",1.84,2018,"cocaine"
"1370","Finland","Pori",2.89,2018,"cocaine"
"1371","Finland","Rovaniemi",3.13,2018,"cocaine"
"1372","Finland","Savonlinna",1.79,2018,"cocaine"
"1373","Finland","Seinäjoki",1,2018,"cocaine"
"1374","Finland","Tampere",19.08,2018,"cocaine"
"1375","Finland","Turku",5.22,2018,"cocaine"
"1376","Finland","Vaasa",1.24,2018,"cocaine"
"1395","Slovenia","Domžale-Kamnik",111.07,2018,"cocaine"
"1396","Slovenia","Ljubljana",259.45,2018,"cocaine"
"1397","Slovenia","Maribor",73.97,2018,"cocaine"
"1400","Austria","Hall-Wattens",5.12,2018,"MDMA"
"1401","Austria","Innsbruck",15.79,2018,"MDMA"
"1402","Austria","Region Millstattersee",3.59,2018,"MDMA"
"1403","Austria","Wasserverband Hofsteig",4.79,2018,"MDMA"
"1404","Belgium","Brugge",7.46,2018,"MDMA"
"1405","Belgium","Brussels",13.67,2018,"MDMA"
"1406","Belgium","Koksijde",3.73,2018,"MDMA"
"1407","Belgium","Oostende",8.25,2018,"MDMA"
"1408","Switzerland","Basel",16.02,2018,"MDMA"
"1409","Switzerland","Berne",11.81,2018,"MDMA"
"1410","Switzerland","Geneva",18.81,2018,"MDMA"
"1411","Switzerland","St. Gallen Hofen",19.4,2018,"MDMA"
"1412","Switzerland","Zurich",29.72,2018,"MDMA"
"1417","Germany","Berlin (4)",61.18,2018,"MDMA"
"1418","Germany","Chemnitz",10.08,2018,"MDMA"
"1419","Germany","Dortmund",16.73,2018,"MDMA"
"1420","Germany","Dresden",8.64,2018,"MDMA"
"1421","Germany","Dülmen",9.04,2018,"MDMA"
"1422","Germany","Erfurt",11.15,2018,"MDMA"
"1423","Germany","Munich Gut_Grosslappen",10.67,2018,"MDMA"
"1424","Germany","Saarbrucken (2)",26.9,2018,"MDMA"
"1426","Spain","Barcelona",25.22,2018,"MDMA"
"1427","Spain","Castellon",1.14,2018,"MDMA"
"1428","Spain","Madrid VdlV",5.52,2018,"MDMA"
"1429","Spain","Santiago",8,2018,"MDMA"
"1430","Spain","Valencia (3)",9.9,2018,"MDMA"
"1431","Finland","Espoo",12.81,2018,"MDMA"
"1432","Finland","Helsinki",19.6,2018,"MDMA"
"1433","Finland","Hämeenlinna",7.35,2018,"MDMA"
"1434","Finland","Joensuu",10.95,2018,"MDMA"
"1435","Finland","Jyväskylä",13.44,2018,"MDMA"
"1436","Finland","Kajaani",5.02,2018,"MDMA"
"1437","Finland","Kemi",6.56,2018,"MDMA"
"1438","Finland","Kokkola",3.17,2018,"MDMA"
"1439","Finland","Kotka",10.57,2018,"MDMA"
"1440","Finland","Kouvola",7,2018,"MDMA"
"1441","Finland","Kuopio",6.14,2018,"MDMA"
"1442","Finland","Lahti",13.85,2018,"MDMA"
"1443","Finland","Lappeenranta",6.82,2018,"MDMA"
"1444","Finland","Mariehamn",23.62,2018,"MDMA"
"1445","Finland","Mikkeli",15.54,2018,"MDMA"
"1446","Finland","Oulu",11.48,2018,"MDMA"
"1447","Finland","Pori",10.88,2018,"MDMA"
"1448","Finland","Rovaniemi",31.89,2018,"MDMA"
"1449","Finland","Savonlinna",4.51,2018,"MDMA"
"1450","Finland","Seinäjoki",12.31,2018,"MDMA"
"1451","Finland","Tampere",10.67,2018,"MDMA"
"1452","Finland","Turku",8.36,2018,"MDMA"
"1453","Finland","Vaasa",7.03,2018,"MDMA"
"1471","Slovenia","Domžale-Kamnik",3.78,2018,"MDMA"
"1472","Slovenia","Ljubljana",15.43,2018,"MDMA"
"1473","Slovenia","Maribor",2.93,2018,"MDMA"
"1476","Austria","Hall-Wattens",1.38,2018,"methamphetamine"
"1477","Austria","Innsbruck",2.35,2018,"methamphetamine"
"1478","Austria","Region Millstattersee",0,2018,"methamphetamine"
"1479","Austria","Wasserverband Hofsteig",1.04,2018,"methamphetamine"
"1480","Belgium","Antwerp Zuid",17.39,2018,"methamphetamine"
"1481","Belgium","Brugge",0,2018,"methamphetamine"
"1482","Belgium","Brussels",7.15,2018,"methamphetamine"
"1483","Belgium","Koksijde",0,2018,"methamphetamine"
"1484","Belgium","Oostende",0,2018,"methamphetamine"
"1489","Germany","Berlin (4)",17.19,2018,"methamphetamine"
"1490","Germany","Chemnitz",175.77,2018,"methamphetamine"
"1491","Germany","Dortmund",3.7,2018,"methamphetamine"
"1492","Germany","Dresden",164.99,2018,"methamphetamine"
"1493","Germany","Dülmen",0,2018,"methamphetamine"
"1494","Germany","Erfurt",205.25,2018,"methamphetamine"
"1495","Germany","Munich Gut_Grosslappen",4.59,2018,"methamphetamine"
"1496","Germany","Saarbrucken (2)",2.16,2018,"methamphetamine"
"1498","Spain","Barcelona",48.36,2018,"methamphetamine"
"1499","Spain","Castellon",0,2018,"methamphetamine"
"1500","Spain","Madrid VdlV",6.97,2018,"methamphetamine"
"1501","Spain","Santiago",0,2018,"methamphetamine"
"1502","Spain","Valencia (3)",1.21,2018,"methamphetamine"
"1503","Finland","Espoo",7.51,2018,"methamphetamine"
"1504","Finland","Helsinki",17.38,2018,"methamphetamine"
"1505","Finland","Hämeenlinna",4.65,2018,"methamphetamine"
"1506","Finland","Joensuu",2.46,2018,"methamphetamine"
"1507","Finland","Jyväskylä",41.81,2018,"methamphetamine"
"1508","Finland","Kajaani",3.27,2018,"methamphetamine"
"1509","Finland","Kemi",2.58,2018,"methamphetamine"
"1510","Finland","Kokkola",1.44,2018,"methamphetamine"
"1511","Finland","Kotka",5.05,2018,"methamphetamine"
"1512","Finland","Kouvola",8.55,2018,"methamphetamine"
"1513","Finland","Kuopio",18.3,2018,"methamphetamine"
"1514","Finland","Lahti",19.34,2018,"methamphetamine"
"1515","Finland","Lappeenranta",6.56,2018,"methamphetamine"
"1516","Finland","Mariehamn",1.02,2018,"methamphetamine"
"1517","Finland","Mikkeli",7.75,2018,"methamphetamine"
"1518","Finland","Oulu",2.99,2018,"methamphetamine"
"1519","Finland","Pori",4.22,2018,"methamphetamine"
"1520","Finland","Rovaniemi",4.9,2018,"methamphetamine"
"1521","Finland","Savonlinna",2.92,2018,"methamphetamine"
"1522","Finland","Seinäjoki",4.07,2018,"methamphetamine"
"1523","Finland","Tampere",20.65,2018,"methamphetamine"
"1524","Finland","Turku",5.97,2018,"methamphetamine"
"1525","Finland","Vaasa",17.99,2018,"methamphetamine"
"1544","Slovenia","Domžale-Kamnik",0,2018,"methamphetamine"
"1545","Slovenia","Ljubljana",2.72,2018,"methamphetamine"
"1546","Slovenia","Maribor",0,2018,"methamphetamine"
